placeID,name,rating
134999,Kiku Cuernavaca,1.6
132825,puesto de tacos,1.28125
135106,El Rinc�n de San Francisco,1.2
132667,little pizza Emilio Portes Gil,1.25
132613,carnitas_mata,1.1666666666666667
135040,Restaurant los Compadres,0.25
132732,Taqueria EL amigo ,0.625
132875,shi ro ie,1.125
132609,Pollo_Frito_Buenos_Aires,0.6
135082,la Estrella de Dimas,0.7777777777777778
135070,Restaurante 75,0.875
135069,Abondance Restaurante Bar,0.5
135065,El angel Restaurante,1.1111111111111112
135076,Restaurante Pueblo Bonito,1.3076923076923077
135086,Mcdonalds Parque Tangamanga,0.8
132870,Tortas y hamburguesas el gordo,0.6
132854,Sirlone,1.3333333333333333
132937,rockabilly ,1.5
132856,Unicols Pizza,0.8571428571428571
132668,TACOS EL GUERO,1.0
135033,Restaurant El Muladar de Calzada,0.75
132862,La Posada del Virrey,1.3888888888888888
134983,Restaurant and Bar and Clothesline Carlos N Charlies,1.0
132851,KFC,1.4285714285714286
135013,Giovannis,1.75
135042,Restaurant Oriental Express,1.25
132768,Mariscos Tia Licha,1.6
132561,cafe ambar,0.75
135045,Restaurante la Gran Via,1.4615384615384615
132847,don burguers,1.1666666666666667
135054,Restaurante y Pescaderia Tampico,1.0
134975,Rincon del Bife,1.6666666666666667
135053,La Fontana Pizza Restaurante and Cafe,1.125
135050,Restaurante la Estrella de Dima,1.25
135025,El Rincon de San Francisco,1.6666666666666667
135030,Preambulo Wifi Zone Cafe,1.5833333333333333
135057,El Herradero Restaurante and Bar,1.2666666666666666
135079,Koye Sushi,1.1764705882352942
134992,Restaurant Teely,1.0
132954,la parroquia,1.0
135041,Luna Cafe,1.1764705882352942
132608,Hamburguesas La perica,1.0
135046,Restaurante El Reyecito,1.2727272727272727
132564,churchs,1.25
132869,Dominos Pizza,1.1666666666666667
132925,el pueblito,1.0
132955,emilianos,2.0
135059,Restaurant Bar Hacienda los Martinez,1.6666666666666667
135001,Vips,1.4285714285714286
135063,Restaurante Alhondiga,1.25
135080,los Toneles,1.0
135000,Restaurant los Pinos,1.25
135066,Restaurante Guerra,1.5
135034,Michiko Restaurant Japones,2.0
135060,Restaurante Marisco Sam,1.1363636363636365
135055,la Cochinita Pibil Restaurante Yucateco,1.7142857142857142
135108,Potzocalli,1.1818181818181819
135074,Restaurante la Parroquia Potosina,1.75
135018,El Oceano Dorado,1.5
135064,Restaurante El Chivero S.A. de C.V.,0.8823529411764706
135038,Restaurant la Chalita,1.2083333333333333
135081,El Club,1.1818181818181819
132723,Gordas de morales,1.4166666666666667
135051,Restaurante Versalles,1.4285714285714286
135021,Subway,1.3333333333333333
135052,La Cantina Restaurante,1.28
132845,Cenaduria El Rincón de Tlaquepaque,0.8
135011,Los Vikingos,1.3333333333333333
132858,Hamburguesas Valle Dorado,0.8
135026,la Cantina,1.3636363636363635
132884,dairy queen,1.1666666666666667
135016,Arrachela Grill,1.0
135104,vips,0.8571428571428571
132630,palomo tec,1.1666666666666667
135047,Restaurante Casa de las Flores,1.1
132951,VIPS,1.0
132665,TACOS CORRECAMINOS,0.8
135044,Restaurant Wu Zhuo Yi,1.25
135035,El Mundo de la Pasta,1.5
135071,Restaurante la Cantina,1.0
132834,Gorditas Doa Gloria,1.0
132846,el lechon potosino ,1.4
135048,Restaurante Bar Fu-hao,1.0
132717,tortas hawai,1.3333333333333333
132861,Carls Jr,1.4285714285714286
132885,Hamburguesas saul,0.6
132740,Carreton de Flautas y Migadas,0.75
132830,Rincon Huasteco,0.9166666666666666
132773,El cotorreo,1.5
132706,Gorditas Dona Tota,0.75
132872,Pizzeria Julios,0.9166666666666666
134987,Chilis Cuernavaca,1.0
132572,Cafe Chaires,1.0
132958,tacos los volcanes,1.6666666666666667
132733,Little Cesarz,1.3
132922,cafe punta del cielo,1.8333333333333333
132715,tacos de la estacion,1.0
135027,Restaurant Orizatlan,0.875
132767,Restaurant Familiar El Chino,1.1666666666666667
135039,Restaurant de Mariscos de Picon,1.25
134996,Sanborns Casa Piedra,1.5555555555555556
132755,La Estrella de Dimas,1.8
135043,pizza clasica,0.8888888888888888
132654,Carnitas Mata  Calle 16 de Septiembre,0.25
135049,Restaurante de Mariscos la Langosta,1.0
135073,Restaurante Bar El Gallinero,1.5
132560,puesto de gorditas,0.5
134976,Log Yin,1.75
135075,Mariscos El Pescador,1.6923076923076923
132660,carnitas mata calle Emilio Portes Gil,1.4
132921,crudalia,1.2352941176470589
132594,tacos de barbacoa enfrente del Tec,0.6
134986,Restaurant Las Mananitas,2.0
135062,Restaurante El Cielo Potosino,1.2380952380952381
132766,Mikasa,0.6666666666666666
135088,Cafeteria cenidet,1.0
135058,Restaurante Tiberius,1.1111111111111112
132754,Cabana Huasteca,1.4615384615384615
132584,Gorditas Dona Tota,1.3333333333333333
135032,Cafeteria y Restaurant El Pacifico,1.1785714285714286
135028,La Virreina,1.5333333333333334
135085,Tortas Locas Hipocampo,1.3333333333333333
132663,tacos abi,0.5
132626,la perica hamburguesa,1.25
132583,McDonalds Centro,1.0
132866,Chaires,1.4
135072,Sushi Itto,1.25
135109,Paniroles,1.0
135019,Restaurant Bar Coty y Pablo,1.3333333333333333
132877,sirloin stockade,0.75
